Account_Number,Zip Code,Total_Mortgage_Balances,Total_HE_Balances,Num_Trades_Past_Due,Num_HE_Trades,FICO_Score_Original,Loan Period,Origination_Date,Maturity_Date,LTV_Original,Lien_Position,Origination_DTI,m1_FICO_Score_Current,m1_Commitments,m1_Outstandings,m1_LTV_Current,m1_Day_Past_Due,m1_APR,m1_Deliqunecy,m2_FICO_Score_Current,m2_Commitments,m2_Outstandings,m2_LTV_Current,m2_Day_Past_Due,m2_APR,m2_Deliqunecy,m3_FICO_Score_Current,m3_Commitments,m3_Outstandings,m3_LTV_Current,m3_Day_Past_Due,m3_APR,m3_Deliqunecy,m4_FICO_Score_Current,m4_Commitments,m4_Outstandings,m4_LTV_Current,m4_Day_Past_Due,m4_APR,m4_Deliqunecy,m5_FICO_Score_Current,m5_Commitments,m5_Outstandings,m5_LTV_Current,m5_Day_Past_Due,m5_APR,m5_Deliqunecy,m6_FICO_Score_Current,m6_Commitments,m6_Outstandings,m6_LTV_Current,m6_Day_Past_Due,m6_APR,m6_Deliqunecy
23,,0,0,,0,0,7310,7/31/2002,8/5/2022,0,1,0,754,24574.51,24198.65,0.238,0,0,0,689,24462.94,22220.59,0.251,0,0,0,0,23424.03,24206.73,0.181,0,0,0,0,21400.42,23467.05,0.19,0,0,0,0,22515.02,21654.36,0,0,0,0,0,21952.74,21543.22,0,0,0,0
24,,0,0,,0,0,7310,8/8/2002,8/13/2022,0,1,0,773,14849.15,15222.29,0.042,0,0,0,754,15338,15245.17,0.043,0,0,0,769,15111.47,14568.5,0,0,0,0,747,15030.93,15213.02,0,0,0,0,691,15030.93,15505.91,0,0,0,0,749,14799.39,15264.49,0,0,0,0
25,,0,0,,0,0,7312,10/26/2002,11/2/2022,0,1,0,789,18235.08,17569.53,0.123,0,0,0,754,17297.71,17732.78,0.12,0,0,0,800,17995.56,17524.81,0.146,0,0,0,777,18315.03,17108.27,0.16,0,0,0,781,16687.86,17437.43,0.157,0,0,0,765,17002.34,18279.52,0.125,0,0,0
26,,0,0,,0,0,7313,10/24/2002,11/1/2022,0,1,0,804,10551.58,11375.05,0.079,0,0,0,814,10644.29,11127.57,0.077,0,0,0,856,11381.15,11099.59,0,0,0,0,831,10382.9,10731.44,0,0,0,0,890,10990.7,10914.13,0,0,0,0,831,10952.61,10031.6,0,0,0,0
27,,0,0,,0,0,7283,11/23/2002,11/1/2022,0,1,0,839,16708.52,18189.15,0.271,0,0,0,812,18073.24,17273.26,0.271,0,0,0,844,17167.06,17924.26,0.268,0,0,0,812,16954.72,17513.74,0.27,0,0,0,804,17075.92,16781.45,0.275,0,0,0,820,16691.45,17232.27,0.262,0,0,0
28,,0,0,,0,0,10941,11/24/2002,11/7/2032,0,1,0,595,16253.05,40740.86,0.72,14,0,1,632,14667.32,38110.17,0.796,13,0,1,651,14794.76,39449.72,0,13,0,1,671,14762.26,46023.14,0,14,0,1,639,14421.44,45292.52,0,13,0,1,639,13401.58,43156.58,0,0,0,0
29,,0,0,,0,0,7310,12/23/2002,12/28/2022,0,1,0,828,38836.08,38615.82,0.157,0,0,0,878,38774,36309.68,0.162,0,0,0,828,36120.4,35893.69,0,0,0,0,844,37158.08,38371.29,0,0,0,0,837,35278.52,38275.3,0,0,0,0,804,33786.3,37807.36,0,0,0,0
30,13206,0,0,,0,0,5485,12/27/1993,1/2/2009,0,0,0,0,0,0,0,4997,0,1,0,0,0,0,4681,0,1,0,0,0,0,4712,0,1,0,0,0,0,5040,0,1,0,0,0,0,4770,0,1,0,0,0,0,5305,0,1
31,,0,0,,0,0,10973,6/17/1987,7/2/2017,0,1,0,884,2052.45,2175.45,0.051,0,0,0,874,1611.33,1693.56,0.049,0,0,0,807,1211.2,1247.94,0,0,0,0,824,869.68,844,0,0,0,0,820,411.66,433.07,0,0,0,0,795,0,0,0,0,0,0
32,,0,0,,0,0,10965,10/25/1987,11/1/2017,0,1,0,625,2329.63,2289.65,0.059,0,0,0,631,1925.1,1835.14,0.063,0,0,0,0,1634.72,1641.79,0,0,0,0,0,1398.51,1396.35,0,0,0,0,0,980.59,1039.34,0.039,0,0,0,0,687.52,686.89,0.02,0,0,0
33,,0,0,,0,0,7341,6/9/2009,7/15/2029,0,1,0,782,21330.72,20560.84,0.13,0,0,0,755,21247.16,22399.09,0.123,0,0,0,747,20739.78,21884.26,0.113,0,0,0,762,20446,20301.71,0.109,0,0,0,762,21622.88,22133.44,0.112,0,0,0,755,21534.48,21405.46,0.105,0,0,0
34,,0,0,,0,0,3658,8/16/2009,8/22/2019,0,1,0,873,3264.47,3276.14,0.013,0,0,0,835,3325.77,3080.56,0.013,0,0,0,843,3190.54,3107.95,0,0,0,0,827,3026.65,2968.03,0,0,0,0,810,2837.17,2924.83,0,0,0,0,819,2568.21,2540.02,0,0,0,0
35,,0,0,,0,0,7312,11/21/2009,11/28/2029,0,1,0,763,64521.48,59800.24,0.465,0,0,0,759,59327.99,65149.98,0.451,0,0,0,745,63405.32,60565.72,0.337,0,0,0,687,63155.06,60922.27,0.344,0,0,0,795,63513.9,58817.37,0.381,0,0,0,734,59000.21,62892.07,0.378,0,0,0
36,,0,0,,0,0,5484,12/16/2009,12/21/2024,0,1,0,792,29432.85,29854.5,0.129,0,0,0,796,29498.64,30213.23,0.125,0,0,0,742,29850.96,29385.64,0.091,0,0,0,750,30192.41,29122.3,0.098,0,0,0,795,27643.36,29465.33,0.103,0,0,0,818,27986.52,28061.36,0.099,0,0,0
37,,0,0,,0,0,7309,2/2/2003,2/6/2023,0,1,0,627,10643.64,10583.39,0.125,0,0,0,551,10322.2,10363.84,0.129,0,0,0,540,9600.36,9841.49,0,0,0,0,557,9990.54,9670.82,0,0,0,0,0,9578.46,10562.23,0,0,0,0,0,9270.2,9639.89,0,0,0,0
38,,0,0,,0,0,7402,5/13/2003,8/18/2023,0,1,0,735,15353.38,14379.48,0.07,3,0,1,724,14907.24,14234.7,0.064,3,0,1,739,14755.44,14670.06,0,3,0,1,688,14732.56,15014.52,0,0,0,0,744,13882.6,14437.04,0,3,0,1,751,13313.74,13571.3,0,4,0,1
39,,0,0,,0,0,5488,6/23/2003,7/2/2018,0,1,0,752,4412.54,4426,0.03,0,0,0,765,3919.33,4254.75,0.03,0,0,0,719,3607.26,3880.69,0.027,0,0,0,727,3399.63,3356.41,0.025,0,0,0,804,3087.43,3334.21,0.022,0,0,0,728,2837.37,3001.9,0.022,0,0,0
40,,0,0,,0,0,5497,5/14/2003,6/1/2018,0,1,0,874,1403.42,1407.63,0.014,0,0,0,819,1248.84,1316.91,0.016,0,0,0,778,1174.55,1201.67,0.012,0,0,0,835,1164.52,1129.1,0.012,0,0,0,808,978.34,1077.94,0.009,0,0,0,833,891.48,916.19,0.007,0,0,0
41,,0,0,,0,0,7323,6/14/2003,7/2/2023,0,1,0,725,7837.98,7720.29,0.04,0,0,0,742,7683.73,7789.12,0.042,0,0,0,728,7457.38,7413.89,0.429,0,0,0,707,7088.96,7666.57,0.421,0,0,0,739,7298.71,7071.75,0.392,0,0,0,725,7006.29,7352.9,0.424,0,0,0
42,,0,0,,0,0,5490,7/22/2003,8/2/2018,0,1,0,789,2926.76,2935.74,0.027,0,0,0,806,2926.76,2789.88,0.027,0,0,0,831,2601.04,2744.07,0.02,0,0,0,806,2445.31,2229.19,0.017,0,0,0,825,2305.58,2344.02,0.016,0,0,0,834,2072.56,2256.96,0.012,0,0,0
43,,0,0,,0,0,7310,7/2/2003,7/7/2023,0,1,0,710,7428.86,7459.41,0.073,0,0,0,731,7426.48,7306.01,0.068,0,0,0,0,7199.4,7302.8,0,0,0,0,0,6975.08,7557.23,0,0,0,0,0,7044.01,7472.81,0,0,0,0,0,7324.72,7461.1,0,0,0,0
44,,0,0,,0,0,7322,10/15/2003,11/1/2023,0,1,0,789,6212.56,5819.44,0.026,0,0,0,836,5875.01,5895.66,0.028,0,0,0,803,5881.85,5564.6,0,0,0,0,853,5282.54,5614.07,0,0,0,0,0,5553.39,5557.21,0,0,0,0,0,5024.91,5385.63,0,0,0,0
45,,0,0,,0,0,7311,8/10/2003,8/16/2023,0,1,0,792,15748.28,15024.11,0.097,0,0,0,797,15033.38,15239.83,0.097,0,0,0,765,14923.74,15420.6,0.078,0,0,0,773,15071.5,15534.4,0.081,6,0,1,836,13942.17,14238.93,0.066,6,0,1,853,14190.32,13922.39,0.068,0,0,0
46,,0,0,,0,0,5484,8/18/2003,8/23/2018,0,1,0,594,7142.05,8303.7,0.143,1051,0,1,551,7433.57,9082.17,0.155,1092,0,1,556,7214.93,8563.19,0.203,1190,0,1,530,7287.81,7512.1,0.201,1246,0,1,0,7506.44,7512.1,0,1253,0,1,0,7069.18,7586.47,0,1297,0,1
47,,0,0,,0,0,7310,9/30/2003,10/5/2023,0,1,0,570,14888.14,14801.72,0.073,0,0,0,558,14029.21,15087.94,0.073,16,0,1,564,14295.17,14485.67,0.086,0,0,0,598,13726.93,13309.31,0.086,0,0,0,624,13821.53,13148.06,0.084,0,0,0,606,13121.87,13495.58,0.084,0,0,0
48,,0,0,,0,0,7311,8/31/2003,9/6/2023,0,1,0,532,21271.73,14899.67,0.089,1626,0,1,542,21482.34,14604.63,0.095,1691,0,1,560,20850.51,14752.15,0.531,1671,0,1,582,21061.12,13319.39,0.563,1667,0,1,0,20218.68,12177.72,0.485,1801,0,1,0,21482.34,12177.72,0.452,1762,0,1
49,,0,0,,0,0,5484,8/27/2003,9/1/2018,0,1,0,677,3661.04,3978.75,0.078,0,0,0,560,3550.3,3815.37,0.072,0,0,0,543,3293.62,3440.64,0.041,0,0,0,526,3205.49,3411.95,0.042,0,0,0,580,2952.5,3081.74,0.035,0,0,0,610,2820.17,2766.67,0.034,0,0,0
50,,0,0,,0,0,7311,9/14/2003,9/20/2023,0,1,0,729,40552.14,41135.09,0.087,0,0,0,759,41346.96,40693.52,0.091,0,0,0,775,40046.38,38597.85,0.13,0,0,0,790,37617.44,39703.58,0.134,0,0,0,767,37188.6,38055.33,0.124,0,0,0,775,41103.18,40421.92,0.124,0,0,0
51,,0,0,,0,0,7311,10/8/2003,10/14/2023,0,1,0,0,0,-60966.03,0,0,0,0,0,0,-59240.69,0,0,0,0,535,0,-66375.5,-0.242,0,0,0,551,0,-65705.04,-0.242,0,0,0,530,0,-71088.44,-0.267,0,0,0,525,0,-71699.74,-0.21,0,0,0
52,,0,0,,0,0,7310,9/29/2003,10/4/2023,0,1,0,814,44854.81,44587.79,0.236,0,0,0,864,46613.94,42344.89,0.253,0,0,0,864,45249.19,44547.67,0,0,0,0,873,45204.49,44023.51,0,0,0,0,850,42998.05,43542.97,0,0,0,0,792,43803.64,44782.51,0,0,0,0
53,,0,0,,0,0,7310,9/23/2003,9/28/2023,0,1,0,893,48159.18,47409.48,0.141,0,0,0,833,47664.65,49266.39,0.139,0,0,0,893,44855.42,45035.91,0.168,0,0,0,808,47582.92,44492.14,0.162,0,0,0,859,46618.18,47215.21,0.176,0,0,0,893,43422.41,45784.9,0.169,0,0,0
54,,0,0,,0,0,5500,10/11/2003,11/1/2018,0,1,0,669,20660.77,20727.59,0.029,0,0,0,708,19213.39,19473.29,0.03,0,0,0,745,19319.74,19566.17,0,0,0,0,760,18220.57,18271.82,0,0,0,0,744,16109.84,16133.22,0,0,0,0,767,16008.12,15235.89,0,0,0,0
55,,0,0,,0,0,5484,10/22/2003,10/27/2018,0,1,0,830,7120.7,6793.53,0.074,0,0,0,847,6582.43,6669.35,0.074,0,0,0,847,6378.18,6396.75,0,0,0,0,813,5859.82,6094.58,0,0,0,0,839,5529.2,5690.93,0,0,0,0,847,5249.89,5453.11,0,0,0,0
56,,0,0,,0,0,7312,10/11/2003,10/18/2023,0,1,0,678,19419.17,19308.09,0.146,0,0,0,689,17902.18,19488.86,0.146,0,0,0,636,18835.88,17975.52,0.18,0,0,0,669,19191.5,19388.36,0.175,0,0,0,0,19169.15,18256.92,0.201,0,0,0,0,18419.43,18786.17,0.173,0,0,0
57,,0,0,,0,0,7310,11/10/2003,11/15/2023,0,1,0,686,19792.27,19115.42,0.1,0,0,0,736,18985.78,18127.21,0.095,0,0,0,666,17457.02,17525.73,0,0,0,0,666,17411.21,19099.48,0,0,0,0,0,18790.91,18842.54,0,0,0,0,0,17830.61,17333.32,0,0,0,0
58,,0,0,,0,0,7309,11/8/2003,11/12/2023,0,1,0,669,27460.86,29606.11,0.09,0,0,0,713,30049.18,27298.4,0.086,0,0,0,685,29745.32,29296.54,0,0,0,0,699,26916.46,30005.33,0,0,0,0,682,28300.48,29685.74,0.048,0,0,0,689,26902.61,26568.02,0.05,0,0,0
59,,0,0,,0,0,7309,10/23/2003,10/27/2023,0,1,0,643,19768.98,19645.35,0.1,0,0,0,534,21195.61,20871.62,0.107,0,0,0,550,19186.31,20467.08,0.105,0,0,0,528,19186.31,20158.01,0.099,0,0,0,581,20577.97,20960.25,0.099,0,0,0,581,0,0,0.095,0,0,0
60,,0,0,,0,0,7310,11/10/2003,11/15/2023,0,1,0,702,23840.92,22971.38,0.098,6,0,1,740,22653.36,23219.61,0.104,0,0,0,718,22886.88,22744.63,0,0,0,0,762,23340.49,23552.23,0,0,0,0,718,23092.21,22131.54,0,0,0,0,755,21485.64,22578.52,0,0,0,0
61,,0,0,,0,0,5484,12/3/2003,12/8/2018,0,1,0,569,8280.9,8147.05,0.072,0,0,0,546,7311.13,7720.32,0.074,0,0,0,0,7423.57,7519.72,0.069,0,0,0,0,6862.09,7266.62,0.069,0,0,0,0,6718.61,6632.81,0.06,0,0,0,0,5984.93,6533.06,0.064,0,0,0
62,,0,0,,0,0,7310,11/18/2003,11/23/2023,0,1,0,781,9620.21,9003.14,0.056,0,0,0,741,9148.1,9463.62,0.059,0,0,0,811,8683.43,9360.84,0,0,0,0,772,8849.25,9415.7,0,0,0,0,756,8748.52,9038.51,0,0,0,0,779,8385.18,8578.6,0,0,0,0
63,,0,0,,0,0,8527,11/19/2003,3/25/2027,0,1,0,505,56450.74,38815.78,0.287,145,0,1,481,55056.33,34831.41,0.296,145,0,1,466,56356.07,35996.7,0.346,152,0,1,486,55501.19,29167.05,0.34,152,0,1,514,53366.53,29470.87,0.293,181,0,1,509,51765.53,30382.34,0.314,215,0,1
64,,0,0,,0,0,5481,12/8/2003,12/10/2018,0,1,0,641,12549.74,11510.57,0.085,0,0,0,583,11354.52,11988.18,0.088,0,0,0,583,10943.84,10639.75,0.05,0,0,0,571,10897.06,10440.08,0.053,0,0,0,625,9436.31,8936.55,0.048,0,0,0,631,8278.39,8068.91,0.047,0,0,0
65,,0,0,,0,0,7310,1/27/2004,2/1/2024,0,1,0,534,8143.31,8097.36,0.13,0,0,0,525,8069.82,8362.52,0.136,0,0,0,531,8412.31,8697.37,0.097,0,0,0,570,8168.97,8503.67,0.106,0,0,0,554,8418.64,8091.99,0.181,0,0,0,544,8256.8,7849.78,0.183,0,0,0
66,,0,0,,0,0,7311,1/25/2004,1/31/2024,0,1,0,681,14005.26,13461.08,0.097,0,0,0,657,13723.65,13992.34,0.099,0,0,0,650,13451.35,13316.84,0,0,0,0,704,13180.76,13979.6,0,0,0,0,650,12517.14,12780.66,0,0,0,0,704,12645.83,13148.03,0,0,0,0
67,,0,0,,0,0,7310,2/9/2004,2/14/2024,0,1,0,850,23419.99,23747.61,0.152,0,0,0,804,23608.18,22793.04,0.147,0,0,0,837,22438.21,21852.95,0.2,0,0,0,788,21509.64,23361.07,0.202,0,0,0,867,21472,21081.04,0.187,0,0,0,801,21376.68,22508.36,0.207,0,0,0
68,,0,0,,0,0,5454,2/24/2004,1/30/2019,0,1,0,820,11874.77,12034.31,0.111,0,0,0,883,11999.81,12038.95,0.111,0,0,0,824,10869.89,10463.29,0.15,0,0,0,824,10107.5,10418.19,0.158,0,0,0,884,9974.52,9761.69,0.167,0,0,0,850,9811.92,9218.88,0.175,0,0,0
69,,0,0,,0,0,7401,2/26/2004,6/1/2024,0,1,0,523,51518.83,48817.31,0.147,0,0,0,533,48521.86,52401.67,0.147,0,0,0,583,49074.52,48920.29,0.153,0,0,0,561,49575.28,46713.27,0.159,19,0,1,548,52086.39,42698.31,0.149,19,0,1,542,49625.03,44417.41,0.151,19,0,1
70,,0,0,,0,0,5483,2/18/2004,2/22/2019,0,1,0,756,5256.92,4772.25,0.062,0,0,0,678,5206.85,4821.73,0.062,0,0,0,713,4632.36,4327.72,0.305,0,0,0,720,4177.83,4172.94,0.324,0,0,0,659,4030.52,3983.59,0.388,0,0,0,659,3910.78,3981.64,0.38,0,0,0
71,,0,0,,0,0,7311,2/25/2004,3/2/2024,0,1,0,825,38455.05,39419.15,0.258,0,0,0,807,41268.61,40242.73,0.274,0,0,0,760,39303.42,39068.39,0.265,0,0,0,815,40091.23,41010.13,0.281,0,0,0,782,36614.56,38259.45,0.274,0,0,0,758,38539.36,39418.73,0.274,0,0,0
72,,0,0,,0,0,5014,1/10/2004,10/2/2017,0,1,0,610,3937,4397.13,0.045,0,0,0,661,3613.8,3310.98,0.044,0,0,0,636,2817.32,2684.98,0.022,0,0,0,630,2045.09,2132.35,0.023,0,0,0,636,1362.84,1365.77,0.017,0,0,0,636,609.74,575.01,0.017,0,0,0
73,,0,0,,0,0,10968,4/11/1992,4/22/2022,0,1,0,696,24560.25,24914.85,0.225,0,0,0,719,25071.92,25169.48,0.221,0,0,0,676,25473.33,24052.51,0.182,0,0,0,726,24360,25555.29,0.191,0,0,0,655,24246.72,23925.89,0.161,0,0,0,661,22918.39,25278.26,0.167,0,0,0
74,,0,0,,0,0,7310,5/29/2007,6/3/2027,0,1,0,511,28744.26,20544.66,0.125,395,0,1,563,29037.57,21571.89,0.127,460,0,1,609,30210.81,20339.21,0,487,0,1,568,29037.57,18195.99,0,498,0,1,640,30797.42,18372.65,0,549,0,1,621,29037.57,18372.65,0,564,0,1
75,,0,0,,0,0,7310,6/6/2007,6/11/2027,0,1,0,688,67495,67066.33,0.283,0,0,0,708,73424.95,70914.41,0.295,0,0,0,701,68851.87,67731.27,0,0,0,0,687,68851.87,68404.04,0,10,0,1,687,68777.68,74762.81,0,0,0,0,715,67705.28,73613.99,0,0,0,0
76,,0,0,,0,0,7310,6/12/2007,6/17/2027,0,1,0,794,67910.7,67500.58,0.317,0,0,0,754,70267.72,67127.59,0.296,0,0,0,725,67164.85,70839.32,0,0,0,0,777,68812.48,69620.1,0,0,0,0,780,67751.71,66441.54,0,0,0,0,758,64028.45,70861.5,0,0,0,0
77,,0,0,,0,0,7310,6/13/2007,6/18/2027,0,1,0,663,69660.22,66448.86,0.393,2,0,1,686,69289.95,70266.56,0.381,2,0,1,627,66849.84,70577.1,0.388,2,0,1,647,70598.7,72397.13,0.391,2,0,1,712,66429.81,73669.09,0.36,0,0,0,719,66055.44,68353.17,0.357,0,0,0
78,,0,0,,0,0,5484,6/13/2007,6/18/2022,0,1,0,691,16202.44,15462.34,0.184,0,0,0,765,15671.74,15892.81,0.184,0,0,0,729,16241.5,15364.25,0.201,0,0,0,743,16172.5,16224.17,0.208,0,0,0,710,15490.41,16459.22,0.138,0,0,0,777,15568.51,16061.51,0.13,0,0,0
79,,0,0,,0,0,7310,7/11/2007,7/16/2027,0,1,0,608,53968.19,51558.97,0.216,5,0,1,644,54204.59,53377.5,0.21,6,0,1,637,50286.35,50487.42,0.6,6,0,1,612,53108.54,50978.39,0.588,6,0,1,663,52305.65,53857.4,0.62,6,0,1,599,52526.58,53548.53,0.572,6,0,1
80,,0,0,,0,0,7310,6/27/2007,7/2/2027,0,1,0,731,12959.21,14096.92,0.202,0,0,0,701,12757.13,12943.83,0.186,0,0,0,722,12956.73,12874.65,0.279,0,0,0,708,12887.26,13345.1,0.273,0,0,0,728,13213.73,13679.73,0.26,0,0,0,686,13798.18,13329.13,0.229,0,0,0
